第一次
發文
手機
排版
請見
諒
患有
憂鬱症
的的
存在
感到
餘
不知道
活著
意義
每天
行屍走肉
不斷
嘲笑
發音
問題
長大
長相
我
想
就此結束
站
陽台
吹
吹風
不行
認為
跳下去
抓
回來
打算
圍牆
想著
是否
死
想到
作罷
吞
藥
結束
心態
扭曲
造成
可逆
心理
傷害
恐慌
症
焦慮症
吃藥
治療
發病
痛苦
不敢相信
能夠
痊癒
一天
根本
不該
資格
世界
從良
改變
心中
留著
無法
抹滅
傷痕
記得
那段
記憶
五六年
樂觀
開朗
三生
憂鬱
躁鬱
思覺
失調
佔
上邊
過去
霸凌
撐
過來
可怕
大三
那次
性
侵
生病
病識
感
掉淚
自殺
耳邊
聲音
當作
一定
太累
某天
發作
朋友
形容
鬼
上身
課堂
對著
大吼大叫
漸漸
系
怪胎
一夕之間
受不了
排擠
休學
覺得
最後
女友
陪著
醫生
當時
診斷
完全
接受
一根
稻草
女朋友
說
台南
騎車
飛奔
想來
陪
途中
車禍
死亡
症狀
爆發
幻聽
幻覺
妄想
哭
鬧
有時候
開心
自覺
回到
家鄉
第二個
半年
好像
山谷
黑暗
不到
喧囂
信任
卻說
負面
自我
放棄
兩三年
家人
陪伴
五年
走
慌
選擇
積極
面對
疾病
換
第三個
病
名稱
情感性
很難
知道
以後
內心
崩塌
新聞
常看到
名詞
能量
現實
壓力
喘
氣
時常
進出
精神科
病房
找
工作
沒關係
面試官
問
殺人
語
真的
友善
各式各樣
標籤
身上
去年
樓
往下跳
掉
車上
幸運
骨折
腦傷
告訴
打敗
珍惜
生命
傻瓜
相信
變好
壞事
退化
想像
空間
四面八方
辱罵
命令
那種
消失
了解
人生
道理
老師
逃避
努力
想法
之間
溫暖
活出
精彩
這條
路
不好
沿途
美麗
風景
希望
病友
我們
一起
此刻
美好
鼓勵
走向
光明
力量
批評
往往
推入
深淵
推手
總是
一線
隔
喜歡
包裹
糖衣
成為
方式
口舌
利器
殊不知
好意
滿足
自私
不可
回頭
自知
明明
要學
新
事物
學習
過程
旁邊
做
挑三揀四
心力
繼續
學
下去
事情
天分
周遭
有沒有
口中
永遠都是
指教
海浪
平輩
一走了之
理會
長官
至親
離開
反駁
無濟於事
遭受
嚴重
長篇大論
訓話
愛
權力
避免
衝突
故作
鎮定
捏緊
拳頭
住
蠢蠢欲動
怒火
輕易
饒
火
止息
披上
外衣
不折不扣
刀
劃傷
保持
平靜
理性
急著
仔細
撥開
層層
交疊
情緒
有用
無謂
拋棄
躁動不安
解決
感性
糾纏
在意
受傷
攻擊
眼中
懂得
保護
評價
認識
管道
定義
權利
全盤
交託
手上
價值
任由
說了算
危險
期望
毒舌
變成
甜
嘴
找到
中庸之道
練習
評估
覺察
因應
模式
樣
個性
藉口
狀態
看待
值不值得
認真
需要
反省
改進
部分
透過
去除
情緒化
字眼
留下
有益
重點
調整
試著
留戀
地將
經由
處理
幫助
客觀
地面
擷取
捨棄
非必要
態度
降低
表現
淹沒
有如
做為
防衛
盾牌
轉過
頭
敵
生活
安寧
吐出
自以
還給
共勉
薩圖
活該
太白
目
傷春悲秋
總覺
換季
容易
每年
季節
氣候
雨
停
念頭
控制
不住
難
好累
生
而為
抱歉
是不是
最近
快樂
想要
討拍
意思
穩
已經
常態
週期性
報到
好奇
三個
版
好多
厭世
文
難過
一直
平常
安慰
沒想到
今天
老公
四年
婚後
單獨
掌控
欲
強
我家
有裝
監視器
定位
出門
定時
回報
照片
交代
目的
每次
回家
檢查
包包
聞
內衣褲
附近
逛
逛買
日用品
簽名
私處
胸部
不見
死定了
允許
金援
錢
當年
逃離
娘家
等於
臉色
過日子
原本
吵架
重度
硬撐
不准
吃
害
中間
穩定
害怕
直接
社交
難再
職場
接連
遇到
親人
絕症
沒日沒夜
醫院
人窩
廁所
懷疑
不在
照顧
開時
揚言
清空
算一天
地方
對付
逃到
沒用
這家
這件
事
近期
引爆
點
疲累
慾望
甩
小聲
罵
髒
再也
碰
永遠
生理期
破皮
發炎
依舊
昨天
爭吵
噁心
再也不會
昨晚
睡
客廳
地板
發覺
褲子
爽
掙扎
洩
慾
上次
崩潰
跪著
磕頭
求
椅子
砸
聽
挑釁
語氣
激
欠
嚎啕大哭
委屈
打開
大門
鄰居
哭聲
丟臉
阻止
扯
上衣
小心
指甲
刮傷
脖子
晚
都還沒
打電話
驗傷
告
一無所有
滾出去
說養
講話
只能
自殘
想死
若無其事
手
溫柔
痛痛
齁
快點
洗澡
幫
擦藥
吐
腦袋
暈眩
有個
容身之地
之前
流產
說出
說不定
種
賴
幸好
流掉
看著
呼呼大睡
衝動
拿刀
殺
講
未來
勇氣
堅強
懦弱
出口
宣洩
對不起
確診
輕鬱
應該
累
高中
也許
早
悲傷
心
空空
無底洞
停止
表面
忍住
此生
最大
願望
電影
出國
旅遊
享受
吃飯
逛街
心裡
聽不懂
今年初
假設
一隻
惡鬼
吃掉
專注
力
細節
實在
精神
殘障
即時
腳
以前
懂
運動
鑽牛角尖
罹患
很常
籃球
夜
跑
晨
...........
擁有
再多
.....
youtu
這部
影片
詮釋
相當
同理
真正
患者
享樂
吃苦
壓抑
發現
關懷
高估
心情
最愛
ok
無限
感覺
吵
Linkin
park
Leave
out
幾次
po
限時
動態
發不出
至少
願意
不敢
否認
拒絕
關心
善解人意
爛透
身體
越來越
差
裝
可憐
搞
小時候
爸媽
場景
爸會
亂
言語
討厭
父母
我心
衝
廚房
菜刀
砍
缺乏
關注
不夠
表達
缺愛
事實
生悶氣
無理取鬧
空洞
不安全感
放不下
自尊
獲得
賤
淒慘
身世
遭遇
壓
幫不了
小事
影響
得知
異樣
眼光
同情
眼神
懂為
數不多
會用
開開心心
早上
起床
無所謂
聽著
深夜
談話
我會
精神支柱
口
一句
錯
諮商
重要
活不下去
訝異
有變
傾向
情況
失控
房間
窗外
大樓
凌晨
三點
原子筆
瘋狂
畫
沒種
美工刀
辣
靈魂
分擔
只好
窗簾
拉
下來
被車撞
麻煩
那晚
求救
無處
安放
一筆
筆畫
自作自受
無果
怨恨
正常
說實話
不想
算了吧
登出
重來
家裡
神經病
尤其
爸
臥病
在家
安穩
不可否認
身心
狀況
媽會
敏感
天
笑
挺
面試
老闆
外向
內向
騙
無病呻吟
睜眼
一位
清楚
就先
放著
再來
一杯
黑
咖啡
搞不好
好喝
印象
媽
喝
咖啡因
很苦
買
苦
味覺
內疚
拜託
自責
爛
草莓
脆弱
玻璃心
值得
承擔
困擾
昨夜
想說
想做
管好
顧
痛
無關痛癢
受
傷
不值一提
爛人
那件
發生
前進
曾經
異性
強暴
想想
強迫
道歉
原諒
終於
夢
夜晚
人行道
人群
平台
無所不在
兩年
半前
嚇醒
哭累
失去
片段
醒來
手臂
其他人
抓著
大聲
後面
一台
車
呼嘯而過
意識
大腿
看到
瘀
痕
半年前
搬家
城市
一端
搬到
另一端
遠離
慢慢
搬
遙遠
類似
室友
第二次
貓
親
同意
關係
一夜
沒睡
憤怒
責備
重大
分歧
再次
青
出血
天亮
洗
沾
血
床單
超過
度
高溫
穿
外套
那天
摸
無論是
推開
下次
共處
相處
大學
過夜
有所
潔身自愛
女生
誤會
哪次
硬
是我太
檢點
隨便
分享
尊重
作出
過分
行為
邏輯
拿走
換成
解釋
自主
詢問
回答
算是
更何況
連問
沒問
兩個
禮拜
假日
收到
訊息
短短
幾個
字
全
醒
嗨
房門
上鎖
最快
速度
洗漱
帶上
錢包
市區
公車
開
高速公路
座位
外面
遊蕩
一整天
隔天
行蹤
小心翼翼
鎖上
徘徊
哭泣
看見
每個
無能
無從
和解
完整
重生
虛偽
假
共存
活下去
擔心
那條
繃緊
繩子
斷
焦慮
計算
五層
挑高
高度
安眠藥
止痛藥
長度
好好
半夜
電動
沒事
過著
一如
往常
愧疚
月前
平日
公司
躺
床上
穩定情緒
不停
下午
寫
整整
一張
活頁紙
遺書
爬上
窗戶
張
書桌
接到
電話
掩飾
回覆
話
掛斷
上爬
倒
地上
放聲大哭
看不到
回事
碎
早就
辦法
證明
祝福
生日
多久
原來
潛意識
走到
一年
停下來
壓得
三年
忽視
用心
交朋友
活死人
是為
幾年
可不可以
板
相關
章
諒解
承受不住
諸如此類
心疼
一名
中度
包含
自律
神經
人格
缺失
持續
四五年
久
後期
意圖
輕生
發表
撐不住
體會
心境
莫名
低落
恐懼
產生
隔絕
任何人
無感
確實
比喻
肉體
分開
大腦
像是
中毒
渴望
制止
辛苦
死神
拔河
感同身受
無意間
帶給
尋找
病患
指責
封閉
原因
沈默
挺煩
身邊
學著
閱讀
心靈
書籍
飽受
所苦
邊緣
難熬
想哭
拼命
感受
發洩
路上
輕
花園
花
海邊
一望無際
大海
抬頭
天上
天空
星空
渺小
奮鬥
感謝
拯救
一把
眼前
找回
燦爛
笑容
抱抱
世上
獨一無二
台東
下雨天
很大
陰
天氣
變化
算
偶像
官網
拚
點數
更糟
做不了
........
上課時
教授
思考
跳樓
..........
六年
八月
開心果
從來沒
多重
惡性腫瘤
分手
撕心裂肺
意外
延畢
確定
成
早在
大四
畢業
不對勁
恐怖
吞噬
